-1
           JDAY!            LAT!            LON!          PRESS!           TEMP!             O3!             CO!            H2O!             NO!           JO1D!           JNO2!            NO2!           HCHO!           C2H6!           C3H8!         IC4H10!         NC4H10!           C2H4!           C3H6!           C5H8!          CH3OH!         C2H5OH!       CH3COCH3!            MEK!            MVK!           MACR!            PAN!           C2H2!        APINENE!        BPINENE!       LIMONENE!         IC5H12!         NC5H12!          M22C4!           CHEX!          M23C4!           M2PE!           M3PE!         NC6H14!         NC8H18!       TBUT2ENE!        BUT1ENE!      MEPROPENE!       CBUT2ENE!           C4H6!        BENZENE!        TOLUENE!          EBENZ!           MXYL!           PXYL!           OXYL!            NOx!
              0!              0!              0!              0!              0!              1!              1!              1!              1!              1!              1!              0!              1!              1!              1!              1!              1!              1!              1!              1!              1!              1!              1!              1!              1!              1!              1!              1!              1!              1!              1!              1!              1!              1!              1!              1!              1!              1!              1!              1!              1!              1!              1!              1!              1!              1!              1!              1!              1!              1!              1!              1!
 2.18571500e+02! 1.56390000e+01! 4.50670000e+00! 4.65180000e+02! 2.63470000e+02! 6.48590000e-08! 8.12880000e-08! 1.71500000e-03! 5.18490000e-11! 8.49870000e-05! 1.17920000e-02! 0.00000000e+00! 2.59409993e-10! 5.78250003e-10! 2.66100007e-11! 2.04999993e-12! 3.34999996e-12! 2.17099984e-11! 1.34700003e-11! 7.59999980e-11! 7.36259997e-10! 0.00000000e+00! 8.05249978e-10! 4.34989988e-10! 2.94974982e-11! 1.32524998e-11! 1.37999986e-10! 7.59499963e-11! 1.64508233e-11! 1.02065622e-11! 2.20254179e-11! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 4.62999994e-12! 3.90000011e-12! 3.97000011e-12! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 8.76000054e-12! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00!
 2.18572200e+02! 1.56920000e+01! 4.56430000e+00! 4.65190000e+02! 2.63610000e+02! 7.47060000e-08! 7.68000000e-08! 9.17480000e-04! 2.56790000e-11! 8.40390000e-05! 1.17980000e-02! 0.00000000e+00! 2.10109999e-10! 5.43575684e-10! 2.98058141e-11! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 7.83480017e-11! 0.00000000e+00! 0.00000000e+00! 6.70200007e-10! 0.00000000e+00! 1.28546991e-11! 5.77529951e-12! 0.00000000e+00! 0.00000000e+00! 1.65206321e-11! 1.02335102e-11! 2.20688780e-11! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00!
 2.18572900e+02! 1.57460000e+01! 4.62290000e+00! 4.65200000e+02! 2.63490000e+02! 7.67710000e-08! 7.21770000e-08! 7.55530000e-04! 6.32130000e-12! 8.32690000e-05! 1.17900000e-02! 6.65490024e-11! 1.77820009e-10! 5.20067878e-10! 2.55773874e-11! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 5.32919993e-11! 0.00000000e+00! 0.00000000e+00! 7.43559991e-10! 0.00000000e+00! 1.35122694e-11! 6.07072986e-12! 1.29999997e-10! 0.00000000e+00! 1.57756950e-11! 9.94595031e-12! 2.16051031e-11! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 2.57499994e-11! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00!
 2.18573600e+02! 1.58000000e+01! 4.68230000e+00! 4.65270000e+02! 2.63710000e+02! 7.86030000e-08! 7.23600000e-08! 7.06490000e-04! 6.80000000e-12! 8.26770000e-05! 1.17910000e-02! 8.34499969e-11! 1.68109998e-10! 5.20998411e-10! 2.57447674e-11! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 1.20530003e-10! 0.00000000e+00! 0.00000000e+00! 7.08829995e-10! 0.00000000e+00! 2.74088686e-11! 1.23141298e-11! 1.26000002e-10! 0.00000000e+00! 1.77747383e-11! 1.07176178e-11! 2.28496458e-11! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00!
 2.18574300e+02! 1.58560000e+01! 4.74230000e+00! 4.65400000e+02! 2.63550000e+02! 7.90620000e-08! 7.25010000e-08! 9.16960000e-04! 1.38000000e-12! 8.52310000e-05! 1.21830000e-02! 6.75679998e-11! 1.96670000e-10! 5.21715393e-10! 2.58737337e-11! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 1.03719998e-10! 0.00000000e+00! 0.00000000e+00! 7.68299979e-10! 0.00000000e+00! 8.92583923e-12! 4.01015983e-12! 0.00000000e+00! 0.00000000e+00! 1.72749627e-11! 1.05246957e-11! 2.25385023e-11! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 2.54259998e-11! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00!
 2.18575000e+02! 1.59110000e+01! 4.80290000e+00! 4.65470000e+02! 2.63580000e+02! 7.71510000e-08! 7.73860000e-08! 1.68860000e-03! 1.43000000e-12! 8.32480000e-05! 1.20210000e-02! 1.08989998e-10! 2.36130004e-10! 5.46555468e-10! 3.03417985e-11! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 1.05600001e-10! 0.00000000e+00! 0.00000000e+00! 8.57739990e-10! 0.00000000e+00! 1.68539401e-11! 7.57206017e-12! 2.50999971e-10! 0.00000000e+00! 1.73308555e-11! 1.05462713e-11! 2.25732991e-11! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 1.38510002e-11! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00!
 2.18576400e+02! 1.60220000e+01! 4.92380000e+00! 4.65480000e+02! 2.63550000e+02! 6.99150000e-08! 7.72390000e-08! 3.48420000e-03! 1.90020000e-11! 8.55880000e-05! 1.24950000e-02! 1.01040003e-10! 2.15800003e-10! 5.45807954e-10! 3.02073436e-11! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 2.83330009e-11! 0.00000000e+00! 0.00000000e+00! 8.98000008e-10! 0.00000000e+00! 4.60002316e-13! 2.06667704e-13! 0.00000000e+00! 0.00000000e+00! 1.50336410e-11! 9.65950497e-12! 2.11431237e-11! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00!
 2.18577100e+02! 1.60770000e+01! 4.98390000e+00! 4.65970000e+02! 2.63500000e+02! 6.93960000e-08! 7.71570000e-08! 3.81480000e-03! 2.93170000e-11! 8.20890000e-05! 1.21520000e-02! 3.27769999e-11! 1.77789991e-10! 5.45391010e-10! 3.01323445e-11! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 2.93999991e-10! 0.00000000e+00! 1.41912766e-11! 9.33433626e-12! 2.06186943e-11! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00!
 2.18577800e+02! 1.61250000e+01! 5.04690000e+00! 4.65510000e+02! 2.63640000e+02! 6.82480000e-08! 7.79580000e-08! 4.16610000e-03! 3.15730000e-11! 7.92890000e-05! 1.19160000e-02! 7.61490038e-11! 2.01800007e-10! 5.49464030e-10! 3.08649772e-11! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 6.14829992e-11! 0.00000000e+00! 0.00000000e+00! 9.08590037e-10! 0.00000000e+00! 1.50371694e-11! 6.75582940e-12! 0.00000000e+00! 0.00000000e+00! 1.60192207e-11! 1.00399558e-11! 2.17567162e-11! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 1.94480005e-11! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00! 0.00000000e+00!
